elliptical_sentences,,,,,full_sentences,,,,,contrast_sentences,,,,,tree_type
Mary watches TV shows and Tim does,,,,,Mary watches TV shows and Tim TV shows,,,,,Mary watches TV shows and Tim sees,,,,,0
John cooked pizza and Tim did,,,,,John cooked pizza and Tim cooked pizza,,,,,John cooked pizza and Tim made,,,,,0
John liked tea and Mary did,,,,,John liked tea and Mary liked tea,,,,,John liked tea and Mary appreciated,,,,,0
John studies history and Sarah does,,,,,John studies history and Sarah studies history,,,,,John studies history and Sarah learns,,,,,0
Tim likes TV shows and Sarah does,,,,,Tim likes TV shows and Sarah TV shows,,,,,Tim likes TV shows and Sarah appreciates,,,,,0
Tim likes movies and Mary does,,,,,Tim likes movies and Mary likes movies,,,,,Tim likes movies and Mary appreciates,,,,,0
Sarah cooked pizza and Mary did,,,,,Sarah cooked pizza and Mary cooked pizza,,,,,Sarah cooked pizza and Mary made,,,,,0
Sarah liked music and Mary did,,,,,Sarah liked music and Mary liked music,,,,,Sarah liked music and Mary appreciated,,,,,0
John liked poems and Tim did,,,,,John liked poems and Tim liked poems,,,,,John liked poems and Tim appreciated,,,,,0
Tim studied tea and Sarah did,,,,,Tim studied tea and Sarah studied tea,,,,,Tim studied tea and Sarah learned,,,,,0
Mary likes sushi and Tim does,,,,,Mary likes sushi and Tim likes sushi,,,,,Mary likes sushi and Tim appreciates,,,,,0
Tim teaches history and Mary does,,,,,Tim teaches history and Mary teaches history,,,,,Tim teaches history and Mary tutors,,,,,0
Tim studies novel and John does,,,,,Tim studies novel and John studies novel,,,,,Tim studies novel and John learns,,,,,0
John likes novel and Tim does,,,,,John likes novel and Tim likes novel,,,,,John likes novel and Tim appreciates,,,,,0
Sarah cooks sushi and Tim does,,,,,Sarah cooks sushi and Tim cooks sushi,,,,,Sarah cooks sushi and Tim makes,,,,,0
Tim studies history and Mary does,,,,,Tim studies history and Mary studies history,,,,,Tim studies history and Mary learns,,,,,0
Mary studies novel and Tim does,,,,,Mary studies novel and Tim studies novel,,,,,Mary studies novel and Tim learns,,,,,0
Mary teaches history and Tim does,,,,,Mary teaches history and Tim teaches history,,,,,Mary teaches history and Tim tutors,,,,,0
John teaches tennis and Tim does,,,,,John teaches tennis and Tim teaches tennis,,,,,John teaches tennis and Tim tutors,,,,,0
John liked sushi and Tim did,,,,,John liked sushi and Tim liked sushi,,,,,John liked sushi and Tim appreciated,,,,,0
Tim likes coffee and Mary does,,,,,Tim likes coffee and Mary likes coffee,,,,,Tim likes coffee and Mary appreciates,,,,,0
John teaches math and Tim does,,,,,John teaches math and Tim teaches math,,,,,John teaches math and Tim tutors,,,,,0
Mary teaches chess and Sarah does,,,,,Mary teaches chess and Sarah teaches chess,,,,,Mary teaches chess and Sarah tutors,,,,,0
John watches movies and Tim does,,,,,John watches movies and Tim watches movies,,,,,John watches movies and Tim sees,,,,,0
Tim likes tea and Mary does,,,,,Tim likes tea and Mary likes tea,,,,,Tim likes tea and Mary appreciates,,,,,0
Tim reads poems and Sarah does,,,,,Tim reads poems and Sarah reads poems,,,,,Tim reads poems and Sarah interprets,,,,,0
Mary plays chess and John does,,,,,Mary plays chess and John plays chess,,,,,Mary plays chess and John participates,,,,,0
John studied coffee and Sarah did,,,,,John studied coffee and Sarah studied coffee,,,,,John studied coffee and Sarah learned,,,,,0
Mary teaches history and John does,,,,,Mary teaches history and John teaches history,,,,,Mary teaches history and John tutors,,,,,0
Tim teaches chess and Mary does,,,,,Tim teaches chess and Mary teaches chess,,,,,Tim teaches chess and Mary tutors,,,,,0
Tim studied music and Mary did,,,,,Tim studied music and Mary studied music,,,,,Tim studied music and Mary learned,,,,,0
Mary likes coffee and Sarah does,,,,,Mary likes coffee and Sarah likes coffee,,,,,Mary likes coffee and Sarah appreciates,,,,,0
Sarah liked chess and John did,,,,,Sarah liked chess and John liked chess,,,,,Sarah liked chess and John appreciated,,,,,0
John studied novel and Mary did,,,,,John studied novel and Mary studied novel,,,,,John studied novel and Mary learned,,,,,0
John studied music and Mary did,,,,,John studied music and Mary studied music,,,,,John studied music and Mary learned,,,,,0
Mary taught history and Sarah did,,,,,Mary taught history and Sarah taught history,,,,,Mary taught history and Sarah tutored,,,,,0
Tim likes pizza and Mary does,,,,,Tim likes pizza and Mary likes pizza,,,,,Tim likes pizza and Mary appreciates,,,,,0
Tim studies pizza and Sarah does,,,,,Tim studies pizza and Sarah studies pizza,,,,,Tim studies pizza and Sarah learns,,,,,0
Tim likes music and Sarah does,,,,,Tim likes music and Sarah likes music,,,,,Tim likes music and Sarah appreciates,,,,,0
Tim liked history and Mary did,,,,,Tim liked history and Mary liked history,,,,,Tim liked history and Mary appreciated,,,,,0
Mary studies movies and John does,,,,,Mary studies movies and John studies movies,,,,,Mary studies movies and John learns,,,,,0
John studies tea and Tim does,,,,,John studies tea and Tim studies tea,,,,,John studies tea and Tim learns,,,,,0
Tim taught tennis and Sarah did,,,,,Tim taught tennis and Sarah taught tennis,,,,,Tim taught tennis and Sarah tutored,,,,,0
John studies music and Tim does,,,,,John studies music and Tim studies music,,,,,John studies music and Tim learns,,,,,0
Sarah likes coffee and Mary does,,,,,Sarah likes coffee and Mary likes coffee,,,,,Sarah likes coffee and Mary appreciates,,,,,0
Mary studies novel and John does,,,,,Mary studies novel and John studies novel,,,,,Mary studies novel and John learns,,,,,0
Sarah liked movies and Tim did,,,,,Sarah liked movies and Tim liked movies,,,,,Sarah liked movies and Tim appreciated,,,,,0
Tim likes sushi and John does,,,,,Tim likes sushi and John likes sushi,,,,,Tim likes sushi and John appreciates,,,,,0
Tim reads poems and Mary does,,,,,Tim reads poems and Mary reads poems,,,,,Tim reads poems and Mary interprets,,,,,0
John teaches music and Sarah does,,,,,John teaches music and Sarah teaches music,,,,,John teaches music and Sarah tutors,,,,,0
Mary studies math and Tim does,,,,,Mary studies math and Tim studies math,,,,,Mary studies math and Tim learns,,,,,0
Sarah liked movies and Mary did,,,,,Sarah liked movies and Mary liked movies,,,,,Sarah liked movies and Mary appreciated,,,,,0
Mary likes movies and Sarah does,,,,,Mary likes movies and Sarah likes movies,,,,,Mary likes movies and Sarah appreciates,,,,,0
Sarah studies math and Mary does,,,,,Sarah studies math and Mary studies math,,,,,Sarah studies math and Mary learns,,,,,0
Mary liked history and Tim did,,,,,Mary liked history and Tim liked history,,,,,Mary liked history and Tim appreciated,,,,,0
Tim studies history and Sarah does,,,,,Tim studies history and Sarah studies history,,,,,Tim studies history and Sarah learns,,,,,0
Mary plays tennis and John does,,,,,Mary plays tennis and John plays tennis,,,,,Mary plays tennis and John participates,,,,,0
John liked pizza and Mary did,,,,,John liked pizza and Mary liked pizza,,,,,John liked pizza and Mary appreciated,,,,,0
Mary played tennis and John did,,,,,Mary played tennis and John played tennis,,,,,Mary played tennis and John participated,,,,,0
Mary studied math and Sarah did,,,,,Mary studied math and Sarah studied math,,,,,Mary studied math and Sarah learned,,,,,0
John liked coffee and Sarah did,,,,,John liked coffee and Sarah liked coffee,,,,,John liked coffee and Sarah appreciated,,,,,0
Sarah studied history and Mary did,,,,,Sarah studied history and Mary studied history,,,,,Sarah studied history and Mary learned,,,,,0
Sarah studies sushi and Tim does,,,,,Sarah studies sushi and Tim studies sushi,,,,,Sarah studies sushi and Tim learns,,,,,0
Sarah studies TV shows and Mary does,,,,,Sarah studies TV shows and Mary TV shows,,,,,Sarah studies TV shows and Mary learns,,,,,0
Mary liked tea and Sarah did,,,,,Mary liked tea and Sarah liked tea,,,,,Mary liked tea and Sarah appreciated,,,,,0
Sarah studied pizza and Mary did,,,,,Sarah studied pizza and Mary studied pizza,,,,,Sarah studied pizza and Mary learned,,,,,0
Mary studies music and Sarah does,,,,,Mary studies music and Sarah studies music,,,,,Mary studies music and Sarah learns,,,,,0
John likes coffee and Tim does,,,,,John likes coffee and Tim likes coffee,,,,,John likes coffee and Tim appreciates,,,,,0
John studied history and Tim did,,,,,John studied history and Tim studied history,,,,,John studied history and Tim learned,,,,,0
Sarah liked TV shows and Tim did,,,,,Sarah liked TV shows and Tim TV shows,,,,,Sarah liked TV shows and Tim appreciated,,,,,0
Sarah teaches history and John does,,,,,Sarah teaches history and John teaches history,,,,,Sarah teaches history and John tutors,,,,,0
Mary taught chess and Sarah did,,,,,Mary taught chess and Sarah taught chess,,,,,Mary taught chess and Sarah tutored,,,,,0
John studies chess and Tim does,,,,,John studies chess and Tim studies chess,,,,,John studies chess and Tim learns,,,,,0
John teaches chess and Tim does,,,,,John teaches chess and Tim teaches chess,,,,,John teaches chess and Tim tutors,,,,,0
John studies novel and Tim does,,,,,John studies novel and Tim studies novel,,,,,John studies novel and Tim learns,,,,,0
Tim watches movies and John does,,,,,Tim watches movies and John watches movies,,,,,Tim watches movies and John sees,,,,,0
Mary teaches music and Sarah does,,,,,Mary teaches music and Sarah teaches music,,,,,Mary teaches music and Sarah tutors,,,,,0
John studied TV shows and Mary did,,,,,John studied TV shows and Mary TV shows,,,,,John studied TV shows and Mary learned,,,,,0
Sarah liked pizza and John did,,,,,Sarah liked pizza and John liked pizza,,,,,Sarah liked pizza and John appreciated,,,,,0
John liked history and Sarah did,,,,,John liked history and Sarah liked history,,,,,John liked history and Sarah appreciated,,,,,0
Tim studied tea and John did,,,,,Tim studied tea and John studied tea,,,,,Tim studied tea and John learned,,,,,0
Tim played chess and Sarah did,,,,,Tim played chess and Sarah played chess,,,,,Tim played chess and Sarah participated,,,,,0
Tim likes chess and Sarah does,,,,,Tim likes chess and Sarah likes chess,,,,,Tim likes chess and Sarah appreciates,,,,,0
Mary studies math and John does,,,,,Mary studies math and John studies math,,,,,Mary studies math and John learns,,,,,0
Sarah likes poems and John does,,,,,Sarah likes poems and John likes poems,,,,,Sarah likes poems and John appreciates,,,,,0
John likes pizza and Mary does,,,,,John likes pizza and Mary likes pizza,,,,,John likes pizza and Mary appreciates,,,,,0
John cooks pizza and Mary does,,,,,John cooks pizza and Mary cooks pizza,,,,,John cooks pizza and Mary makes,,,,,0
Tim teaches music and John does,,,,,Tim teaches music and John teaches music,,,,,Tim teaches music and John tutors,,,,,0
Sarah studies history and Mary does,,,,,Sarah studies history and Mary studies history,,,,,Sarah studies history and Mary learns,,,,,0
John studies pizza and Sarah does,,,,,John studies pizza and Sarah studies pizza,,,,,John studies pizza and Sarah learns,,,,,0
Sarah liked tennis and Mary did,,,,,Sarah liked tennis and Mary liked tennis,,,,,Sarah liked tennis and Mary appreciated,,,,,0
John watches movies and Sarah does,,,,,John watches movies and Sarah watches movies,,,,,John watches movies and Sarah sees,,,,,0
Mary studied tea and John did,,,,,Mary studied tea and John studied tea,,,,,Mary studied tea and John learned,,,,,0
Mary studied sushi and Tim did,,,,,Mary studied sushi and Tim studied sushi,,,,,Mary studied sushi and Tim learned,,,,,0
